LINESTRING (-70.144088 -18.093088, -70.17512 -18.13044)
LINESTRING (-70.17512 -18.13044, -70.28178 -18.18041)
LINESTRING (-70.28178 -18.18041, -70.32852 -18.184561)
LINESTRING (-70.32852 -18.184561, -70.2371 -18.022461)
LINESTRING (-70.2371 -18.022461, -70.182801 -18.051443)
LINESTRING (-70.182801 -18.051443, -70.144088 -18.093088)
LINESTRING (-69.90467 -17.95829, -69.982875 -18.011715)
LINESTRING (-69.982875 -18.011715, -70.0296 -18.0604)
LINESTRING (-70.0296 -18.0604, -70.118506 -18.063346)
LINESTRING (-70.118506 -18.063346, -70.144088 -18.093088)
LINESTRING (-70.144088 -18.093088, -70.182801 -18.051443)
LINESTRING (-70.182801 -18.051443, -70.2371 -18.022461)
LINESTRING (-70.2371 -18.022461, -70.235 -17.99231)
LINESTRING (-70.235 -17.99231, -70.223522 -17.958397)
LINESTRING (-70.223522 -17.958397, -70.172426 -18.005672)
LINESTRING (-70.172426 -18.005672, -70.092014 -17.980258)
LINESTRING (-70.092014 -17.980258, -70.049473 -17.972887)
LINESTRING (-70.049473 -17.972887, -69.964939 -17.929644)
LINESTRING (-69.964939 -17.929644, -69.932168 -17.926121)
LINESTRING (-69.932168 -17.926121, -69.90467 -17.95829)
LINESTRING (-70.092014 -17.980258, -70.172426 -18.005672)
LINESTRING (-70.172426 -18.005672, -70.223522 -17.958397)
LINESTRING (-70.223522 -17.958397, -70.184225 -17.914365)
LINESTRING (-70.184225 -17.914365, -70.151346 -17.930811)
LINESTRING (-70.151346 -17.930811, -70.122555 -17.904014)
LINESTRING (-70.122555 -17.904014, -70.075557 -17.913762)
LINESTRING (-70.075557 -17.913762, -70.092014 -17.980258)
LINESTRING (-70.235 -17.99231, -70.2371 -18.022461)
LINESTRING (-70.2371 -18.022461, -70.32852 -18.184561)
LINESTRING (-70.32852 -18.184561, -70.28178 -18.18041)
LINESTRING (-70.28178 -18.18041, -70.17512 -18.13044)
LINESTRING (-70.17512 -18.13044, -70.144088 -18.093088)
LINESTRING (-70.144088 -18.093088, -70.118506 -18.063346)
LINESTRING (-70.118506 -18.063346, -70.0296 -18.0604)
LINESTRING (-70.0296 -18.0604, -69.982875 -18.011715)
LINESTRING (-69.982875 -18.011715, -69.90467 -17.95829)
LINESTRING (-69.90467 -17.95829, -69.752533 -17.98799)
LINESTRING (-69.752533 -17.98799, -69.81308 -18.114478)
LINESTRING (-69.81308 -18.114478, -69.854309 -18.165348)
LINESTRING (-69.854309 -18.165348, -69.960549 -18.262885)
LINESTRING (-69.960549 -18.262885, -70.050707 -18.268803)
LINESTRING (-70.050707 -18.268803, -70.149652 -18.318367)
LINESTRING (-70.149652 -18.318367, -70.197168 -18.322187)
LINESTRING (-70.197168 -18.322187, -70.286805 -18.308105)
LINESTRING (-70.286805 -18.308105, -70.353877 -18.326193)
LINESTRING (-70.353877 -18.326193, -70.376711 -18.350928)
LINESTRING (-70.376711 -18.350928, -70.481289 -18.273412)
LINESTRING (-70.481289 -18.273412, -70.604648 -18.201109)
LINESTRING (-70.604648 -18.201109, -70.622456 -18.094871)
LINESTRING (-70.622456 -18.094871, -70.546086 -18.021102)
LINESTRING (-70.546086 -18.021102, -70.513227 -17.969199)
